	Match	Place	Latitude	Longitude	Time
0	England vs Sri Lanka, 5th ODI	Sophia Gardens, Cardiff	51.484295	-3.1895088	09:30 AM  GMT  / 10:30 AM LOCAL
1	England Women vs Pakistan Women, 1st T20I	County Ground, Bristol	42.0313267	-71.2588834	01:30 PM  GMT  / 02:30 PM LOCAL
2	Scotland vs Afghanistan, 1st ODI	Grange Cricket Club, Edinburgh	55.93133959999999	-3.189465	09:45 AM  GMT  / 10:45 AM LOCAL
3	England vs Sri Lanka, Only T20I	The Rose Bowl, Southampton	50.90970040000001	-1.4043509	05:30 PM  GMT  / 06:30 PM LOCAL
4	England Women vs Pakistan Women, 2nd T20I	The Rose Bowl, Southampton	50.90970040000001	-1.4043509	01:00 PM  GMT  / 02:00 PM LOCAL
5	Scotland vs Afghanistan, 2nd ODI	Grange Cricket Club, Edinburgh	55.93133959999999	-3.189465	09:45 AM  GMT  / 10:45 AM LOCAL
6	England Women vs Pakistan Women, 3rd T20I	County Ground, Chelmsford	51.7355868	0.4685497	05:00 PM  GMT  / 06:00 PM LOCAL
7	Ireland vs Afghanistan, 1st ODI	Civil Service Cricket Club, Belfast	54.59728500000001	-5.93012	09:45 AM  GMT  / 10:45 AM LOCAL
8	Ireland vs Afghanistan, 2nd ODI	Civil Service Cricket Club, Belfast	54.59728500000001	-5.93012	09:45 AM  GMT  / 10:45 AM LOCAL
9	England vs Pakistan, 1st Test	Lord's, London	51.5289171	-0.1748869	10:00 AM  GMT  / 11:00 AM LOCAL
10	Ireland vs Afghanistan, 3rd ODI	Civil Service Cricket Club, Belfast	54.59728500000001	-5.93012	09:45 AM  GMT  / 10:45 AM LOCAL
11	England vs Pakistan, 1st Test	Lord's, London	51.5289171	-0.1748869	10:00 AM  GMT  / 11:00 AM LOCAL
12	England vs Pakistan, 1st Test	Lord's, London	51.5289171	-0.1748869	10:00 AM  GMT  / 11:00 AM LOCAL
13	England vs Pakistan, 1st Test	Lord's, London	51.5289171	-0.1748869	10:00 AM  GMT  / 11:00 AM LOCAL
14	Ireland vs Afghanistan, 4th ODI	Civil Service Cricket Club, Belfast	54.59728500000001	-5.93012	09:45 AM  GMT  / 10:45 AM LOCAL
15	England vs Pakistan, 1st Test	Lord's, London	51.5289171	-0.1748869	10:00 AM  GMT  / 11:00 AM LOCAL
16	Ireland vs Afghanistan, 5th ODI	Civil Service Cricket Club, Belfast	54.59728500000001	-5.93012	09:45 AM  GMT  / 10:45 AM LOCAL
